sample,time_s,raw_u16,code12,voltage_V
377,0.188509000,25654,1603,1.291801
378,0.189008000,45563,2847,2.294314
379,0.189508000,57806,3612,2.910808
380,0.190014000,55533,3470,2.796352
381,0.190514000,39481,2467,1.988057
382,0.191013000,20068,1254,1.010520
383,0.191513000,7633,477,0.384358
384,0.192013000,10210,638,0.514122
385,0.192513000,25798,1612,1.299052
386,0.193014000,45643,2852,2.298343
387,0.193514000,57902,3618,2.915642
388,0.194013000,55373,3460,2.788295
389,0.194513000,39625,2476,1.995308
390,0.195013000,19796,1237,0.996823
391,0.195513000,7761,485,0.390803
392,0.196012000,10210,638,0.514122
393,0.196511000,25974,1623,1.307915
394,0.197011000,45659,2853,2.299148
395,0.197511000,57870,3616,2.914030
396,0.198011000,55485,3467,2.793934
397,0.198511000,39689,2480,1.998530
398,0.199010000,19988,1249,1.006491
399,0.199510000,7809,488,0.393220
400,0.200010000,10178,636,0.512511
401,0.200510000,25862,1616,1.302275
402,0.201010000,45579,2848,2.295120
403,0.201510000,57854,3615,2.913225
404,0.202010000,55437,3464,2.791518
405,0.202510000,39769,2485,2.002559
406,0.203009000,20132,1258,1.013742
407,0.203509000,7873,492,0.396443
408,0.204009000,10114,632,0.509288
409,0.204509000,25830,1614,1.300664
410,0.205010000,45499,2843,2.291092
411,0.205509000,57902,3618,2.915642
412,0.206008000,55517,3469,2.795546
413,0.206508000,39865,2491,2.007393
414,0.207014000,19684,1230,0.991183
415,0.207513000,7745,484,0.389998
416,0.208013000,10242,640,0.515734
417,0.208514000,25974,1623,1.307915
418,0.209014000,45707,2856,2.301566
419,0.209513000,57838,3614,2.912419
420,0.210013000,55357,3459,2.787489
421,0.210512000,39769,2485,2.002559
422,0.211011000,20020,1251,1.008102
423,0.211511000,7841,490,0.394832
424,0.212011000,10162,635,0.511705
425,0.212511000,25862,1616,1.302275
426,0.213012000,45595,2849,2.295926
427,0.213511000,57870,3616,2.914030
428,0.214011000,55437,3464,2.791518
429,0.214511000,40057,2503,2.017061
430,0.215010000,20404,1275,1.027439
431,0.215510000,7761,485,0.390803
432,0.216010000,10242,640,0.515734
433,0.216511000,25894,1618,1.303886
434,0.217011000,45659,2853,2.299148
435,0.217510000,57886,3617,2.914836
436,0.218010000,55453,3465,2.792323
437,0.218509000,39929,2495,2.010616
438,0.219009000,20100,1256,1.012131
439,0.219509000,7793,487,0.392415
440,0.220009000,10114,632,0.509288
441,0.220508000,25750,1609,1.296635
442,0.221014000,45435,2839,2.287869
443,0.221513000,57838,3614,2.912419
444,0.222013000,55325,3457,2.785878
445,0.222512000,39705,2481,1.999336
446,0.223012000,19940,1246,1.004074
447,0.223512000,7777,486,0.391609
448,0.224013000,10274,642,0.517345
449,0.224512000,25894,1618,1.303886
450,0.225012000,45659,2853,2.299148
451,0.225511000,57870,3616,2.914030
452,0.226011000,55389,3461,2.789100
453,0.226510000,39769,2485,2.002559
454,0.227010000,20068,1254,1.010520
455,0.227510000,7793,487,0.392415
456,0.228010000,10162,635,0.511705
457,0.228509000,25942,1621,1.306304
458,0.229009000,45531,2845,2.292703
459,0.229509000,57806,3612,2.910808
460,0.230009000,55501,3468,2.794740
461,0.230508000,39785,2486,2.003364
462,0.231014000,19892,1243,1.001657
463,0.231514000,7681,480,0.386775
464,0.232014000,10242,640,0.515734
465,0.232513000,25846,1615,1.301469
466,0.233013000,45595,2849,2.295926
467,0.233513000,57822,3613,2.911614
468,0.234013000,55373,3460,2.788295
469,0.234513000,39785,2486,2.003364
470,0.235012000,19924,1245,1.003268
471,0.235512000,7713,482,0.388386
472,0.236012000,10194,637,0.513317
473,0.236512000,25798,1612,1.299052
474,0.237012000,45675,2854,2.299954
475,0.237511000,58030,3626,2.922088
476,0.238010000,55469,3466,2.793129
477,0.238510000,39817,2488,2.004976
478,0.239010000,20004,1250,1.007297
479,0.239510000,7793,487,0.392415
480,0.240010000,10306,644,0.518956
481,0.240509000,25814,1613,1.299858
482,0.241009000,45435,2839,2.287869
483,0.241508000,57790,3611,2.910002
484,0.242014000,55373,3460,2.788295
485,0.242514000,39657,2478,1.996919
486,0.243014000,19844,1240,0.999240
487,0.243508000,7825,489,0.394026
488,0.244008000,10306,644,0.518956
489,0.244514000,26006,1625,1.309526
490,0.245008000,45595,2849,2.295926
491,0.245508000,57806,3612,2.910808
492,0.246008000,55485,3467,2.793934
493,0.246514000,39513,2469,1.989668
494,0.247013000,19764,1235,0.995212
495,0.247513000,7713,482,0.388386
496,0.248013000,10162,635,0.511705
497,0.248513000,25958,1622,1.307109
498,0.249013000,45675,2854,2.299954
499,0.249513000,57886,3617,2.914836
500,0.250012000,55357,3459,2.787489
501,0.250512000,39689,2480,1.998530
502,0.251011000,19988,1249,1.006491
503,0.251512000,7681,480,0.386775
504,0.252011000,10194,637,0.513317
505,0.252511000,25894,1618,1.303886
506,0.253011000,45611,2850,2.296732
507,0.253511000,57870,3616,2.914030
508,0.254011000,55325,3457,2.785878
509,0.254511000,39849,2490,2.006587
510,0.255010000,20100,1256,1.012131
511,0.255510000,7841,490,0.394832
512,0.256010000,10450,653,0.526207
513,0.256510000,25798,1612,1.299052
514,0.257009000,45915,2869,2.312039
515,0.257509000,57886,3617,2.914836
516,0.258009000,55405,3462,2.789906
517,0.258509000,39849,2490,2.006587
518,0.259009000,20068,1254,1.010520
519,0.259509000,7745,484,0.389998
520,0.260009000,10066,629,0.506871
521,0.260508000,25766,1610,1.297441
522,0.261008000,45403,2837,2.286258
523,0.261514000,57886,3617,2.914836
524,0.262013000,55357,3459,2.787489
525,0.262513000,39641,2477,1.996114
526,0.263013000,19876,1242,1.000851
527,0.263512000,7713,482,0.388386
528,0.264012000,10226,639,0.514928
529,0.264511000,26054,1628,1.311943
530,0.265011000,45099,2818,2.270950
531,0.265510000,57918,3619,2.916448
532,0.266011000,55405,3462,2.789906
533,0.266510000,39721,2482,2.000142
534,0.267011000,20004,1250,1.007297
535,0.267510000,7777,486,0.391609
536,0.268010000,10242,640,0.515734
537,0.268510000,25830,1614,1.300664
538,0.269010000,45579,2848,2.295120
539,0.269510000,57854,3615,2.913225
540,0.270010000,55485,3467,2.793934
541,0.270510000,39833,2489,2.005782
542,0.271009000,20020,1251,1.008102
543,0.271509000,7665,479,0.385969
544,0.272009000,10098,631,0.508483
545,0.272509000,25798,1612,1.299052
546,0.273009000,45483,2842,2.290286
547,0.273508000,57021,3563,2.871280
548,0.274008000,55405,3462,2.789906
549,0.274514000,39657,2478,1.996919
550,0.275013000,19876,1242,1.000851
551,0.275512000,7793,487,0.392415
552,0.276012000,10258,641,0.516539
553,0.276512000,25878,1617,1.303081
554,0.277011000,45595,2849,2.295926
555,0.277510000,57886,3617,2.914836
556,0.278010000,55437,3464,2.791518
557,0.278510000,39737,2483,2.000948
558,0.279010000,20196,1262,1.016965
559,0.279509000,7873,492,0.396443
560,0.280009000,10034,627,0.505260
561,0.280509000,25718,1607,1.295024
562,0.281009000,45499,2843,2.291092
563,0.281510000,57790,3611,2.910002
564,0.282010000,55469,3466,2.793129
565,0.282509000,39849,2490,2.006587
566,0.283009000,20084,1255,1.011325
567,0.283509000,7809,488,0.393220
568,0.284009000,10130,633,0.510094
569,0.284509000,25766,1610,1.297441
570,0.285009000,45515,2844,2.291898
571,0.285508000,57806,3612,2.910808
572,0.286008000,55421,3463,2.790712
573,0.286508000,39833,2489,2.005782
574,0.287009000,20324,1270,1.023410
575,0.287508000,7841,490,0.394832
576,0.288008000,10146,634,0.510900
577,0.288514000,26502,1656,1.334502
578,0.289013000,45339,2833,2.283035
579,0.289513000,57470,3591,2.893889
580,0.290013000,55341,3458,2.786683
581,0.290513000,39817,2488,2.004976
582,0.291012000,19940,1246,1.004074
583,0.291512000,7713,482,0.388386
584,0.292012000,10162,635,0.511705
585,0.292512000,25830,1614,1.300664
586,0.293012000,45611,2850,2.296732
587,0.293511000,57822,3613,2.911614
588,0.294011000,55389,3461,2.789100
589,0.294511000,39753,2484,2.001753
590,0.295011000,20052,1253,1.009714
591,0.295511000,7761,485,0.390803
592,0.296011000,10226,639,0.514928
593,0.296510000,25862,1616,1.302275
594,0.297011000,45483,2842,2.290286
595,0.297510000,57742,3608,2.907585
596,0.298009000,55453,3465,2.792323
